# time, roll_desired, roll, steer_desired, steer 
0.06300000000000004,0.15,9.836536899502188e-06,0.06003228316745119,-0.007113669565396911
0.06400000000000004,0.15,1.1111754675732928e-05,0.061805986567570886,-0.007433876488300495
0.06500000000000004,0.15,1.519657361494749e-05,0.06212278473486392,-0.007722062779337411
0.06600000000000004,0.15,1.563791921362655e-05,0.0638810036188008,-0.007981430382675915
0.06700000000000005,0.15,1.8818937633931372e-05,0.06422588864622746,-0.008214861217875088
0.06800000000000005,0.15,2.2416425465091073e-05,0.06521508334187183,-0.008677997230098005
0.06900000000000005,0.15,2.8404421973387382e-05,0.06561552029768378,-0.00909482003926633
0.07000000000000005,0.15,3.0462088853855142e-05,0.06742548071886782,-0.009469960572478507
0.07100000000000005,0.15,3.513246150900898e-05,0.06778893970679248,-0.00980758705452286
0.07200000000000005,0.15,3.598762533188822e-05,0.06958386816051451,-0.010111450882665601
0.07300000000000005,0.15,4.317136620217001e-05,0.06922562109582928,-0.010615638009091625
0.07400000000000005,0.15,4.620088829566921e-05,0.0710797201998225,-0.011069406781465695
0.07500000000000005,0.15,5.178970271218004e-05,0.0714511302898263,-0.011477798685742674
0.07600000000000005,0.15,5.338807935806817e-05,0.07328088111658491,-0.011845351396043044
0.07700000000000005,0.15,5.7737957517477836e-05,0.07362062136730753,-0.012176148834287042
0.07800000000000006,0.15,6.19186435741857e-05,0.07469016263284374,-0.012721699034287779
0.07900000000000006,0.15,6.856586810254913e-05,0.07507817852104351,-0.013212694605577809
0.08000000000000006,0.15,7.103029658001199e-05,0.07694653418119149,-0.013654590624464301
0.08100000000000006,0.15,7.620566246749574e-05,0.0772926718111865,-0.014052297043295236
0.08200000000000006,0.15,7.733023463432302e-05,0.07914219516407706,-0.014410232813797018
0.08300000000000006,0.15,8.520273696103513e-05,0.07866263058848157,-0.01499648070202185
0.08400000000000006,0.15,7.731920390144817e-05,0.08300997231691133,-0.015524102754164978
0.08500000000000006,0.15,7.23850338390334e-05,0.08335473678112713,-0.015998963743082482
0.08600000000000006,0.15,6.335676163311604e-05,0.08526763764556403,-0.01642633895754696
0.08700000000000006,0.15,5.743487776478819e-05,0.08559609978114482,-0.016810976769562155
0.08800000000000006,0.15,7.681744998779395e-05,0.0810144625518672,-0.017437472893796244
0.08900000000000007,0.15,0.0002899309099086009,0.03871081928832341,-0.018001326346133908
0.09000000000000007,0.15,0.000527617737127084,0.03355280974210014,-0.018508794559572446
0.09100000000000007,0.15,0.0007695777884496025,0.032823969736479226,-0.018965515744081694
0.09200000000000007,0.15,0.0010084433309276372,0.03372122411993116,-0.019376564828621604
0.09300000000000007,0.15,0.0012552614932918214,0.0321615186847949,-0.020026972222994162
0.09400000000000007,0.15,0.0014983619697999425,0.033179392659842565,-0.020612339288390256
0.09500000000000007,0.15,0.0017453842044297455,0.03250714986804841,-0.021139169651266658
0.09600000000000007,0.15,0.0019887024647663185,0.03351898453361086,-0.021613316971935793
0.09700000000000007,0.15,0.002204106949424581,0.039977377936931645,-0.022040048550554955
0.09800000000000007,0.15,0.002418097471887118,0.040517932216026224,-0.022657612526466166
0.09900000000000007,0.15,0.0026359004106445935,0.039906114602909534,-0.023213420474528613
0.10000000000000007,0.15,0.0028496802591871364,0.04102431570023666,-0.023713647635151852
0.10100000000000008,0.15,0.003067299196189212,0.040402180507969024,-0.02416385208568825
0.10200000000000008,0.15,0.003280889625560692,0.04151781981351359,-0.02456903608644511
0.10300000000000008,0.15,0.003564670299637894,0.026211084579300506,-0.025129944091827252
0.10400000000000008,0.15,0.003854359179315177,0.024943529797346542,-0.025634758790372546
0.10500000000000008,0.15,0.00434740357669657,-0.020351486651733405,-0.026089093988053855
0.10600000000000008,0.15,0.004833819785617605,-0.019474489605661935,-0.026497995959049503
0.10700000000000008,0.15,0.005326003621876314,-0.0213580808119489,-0.026866007651422674
0.10800000000000008,0.15,0.00581678267304911,-0.021688935734622924,-0.027350779550504578
0.10900000000000008,0.15,0.006312125784514838,-0.023346093759457218,-0.027787074496527175
0.11000000000000008,0.15,0.006803689822806712,-0.023163203063016544,-0.028179739945240725
0.11100000000000008,0.15,0.007299801475734185,-0.024825898061305085,-0.02853313885035364
0.11200000000000009,0.15,0.007792102359757388,-0.024645104794619607,-0.02885119785772573
0.11300000000000009,0.15,0.008289884621103796,-0.026524938961312278,-0.029201123079692824
0.11400000000000009,0.15,0.008783803610563747,-0.026344428945618295,-0.029516055866957058
0.11500000000000009,0.15,0.009282386281603978,-0.02805390808271699,-0.029799495376795358
0.11600000000000009,0.15,0.009922485324447073,-0.060250611955907654,-0.030054590274051326
0.11700000000000009,0.15,0.01056510016278708,-0.061947080272831745,-0.030284176181008433
0.11800000000000009,0.15,0.011204563297694514,-0.062404699323706195,-0.030470058430192154
0.11900000000000009,0.15,0.011849386571841904,-0.0647561506309409,-0.03063735244336241
0.12000000000000009,0.15,0.012490514675256947,-0.06511490774833653,-0.030787917093829442
0.1210000000000001,0.15,0.013198772699458553,-0.08122602351346844,-0.030923425270346132
0.1220000000000001,0.15,0.013902402926322725,-0.08157620206538693,-0.03104538252860181
0.1230000000000001,0.15,0.01460964204191595,-0.08376342912860074,-0.031033098400265052
0.1240000000000001,0.15,0.015326316306376285,-0.08724551017846204,-0.031022042705309977
0.12500000000000008,0.15,0.016048094347889306,-0.0898171508131598,-0.031012092191585877
0.12600000000000008,0.15,0.016781103892831883,-0.09376593915523314,-0.03100313712846106
0.12700000000000009,0.15,0.017519293909770785,-0.09640562522737887,-0.030995077141611566
0.12800000000000009,0.15,0.018271554886588378,-0.10105293384807698,-0.03098782361686539
0.1290000000000001,0.15,0.018963739826617608,-0.0892385707748801,-0.03069206050034748
0.1300000000000001,0.15,0.01972338028335695,-0.10562695702804537,-0.030425875124002216
0.1310000000000001,0.15,0.020494998743403825,-0.10987575276243641,-0.030186305814978637
0.1320000000000001,0.15,0.021315581467547837,-0.1224332928924243,-0.029970695519619645
0.1330000000000001,0.15,0.02214599572587857,-0.12642139356291252,-0.029776644518244494
0.1340000000000001,0.15,0.023015290167331563,-0.13693106082514722,-0.02924992107299254
0.1350000000000001,0.15,0.02389181014694998,-0.14051529651900135,-0.02877586826147241
0.1360000000000001,0.15,0.02478843805106932,-0.14699299774000762,-0.028349221521836304
0.1370000000000001,0.15,0.02569158067757706,-0.1504999170438164,-0.027965238683096777
0.1380000000000001,0.15,0.02659064332854591,-0.15171823969315912,-0.027619654396893983
0.1390000000000001,0.15,0.027518595235312967,-0.16023753054124729,-0.02684650599029706
0.1400000000000001,0.15,0.028443037075986607,-0.1616190299555758,-0.026150671157699895
0.1410000000000001,0.15,0.029373489740985786,-0.16514807032729797,-0.025524419718330554
0.1420000000000001,0.15,0.03031268359882587,-0.16930597156384364,-0.02496079376527885
0.1430000000000001,0.15,0.03125708409913096,-0.1727174668686942,-0.024453530154478292
0.1440000000000001,0.15,0.03221654800162296,-0.17834348387710747,-0.02342084182661744
0.1450000000000001,0.15,0.03317891778397699,-0.18130594008348522,-0.022491421050466448
0.1460000000000001,0.15,0.03413930929696301,-0.1832059762709086,-0.021654941948445666
0.1470000000000001,0.15,0.03510425099826005,-0.18656240223674825,-0.020902110862265927
0.1480000000000001,0.15,0.0360688326381592,-0.18884711402938176,-0.020224562776428284
0.1490000000000001,0.15,0.037023847618763484,-0.18908060792827946,-0.018931848019462377
0.1500000000000001,0.15,0.03797127803927268,-0.18973204148385373,-0.01776840269039806
0.1510000000000001,0.15,0.0389231117289054,-0.1930415256765754,-0.016721302177076153
0.1520000000000001,0.15,0.03987018539264734,-0.19432508182425004,-0.015778911680259716
0.1530000000000001,0.15,0.04082120350579476,-0.19753467043772271,-0.014930760148159555
0.1540000000000001,0.15,0.041777599516773435,-0.20108944954600502,-0.013391117061762797
0.1550000000000001,0.15,0.04273600911913676,-0.20391621796630557,-0.012005437151888648
0.1560000000000001,0.15,0.04367638691415116,-0.20229031075742404,-0.01075832428572046
0.1570000000000001,0.15,0.044619959706598745,-0.2053449798112574,-0.009635923415089925
0.1580000000000001,0.15,0.04555189643673655,-0.20511281422534763,-0.008625762073831394
0.1590000000000001,0.15,0.046469078384552116,-0.20415101931215263,-0.0068634779165849535
0.16000000000000011,0.15,0.04736746557459196,-0.20224832203888327,-0.00527741921608485
0.16100000000000012,0.15,0.04830887852423329,-0.21406429388823026,-0.0038499674547555485
0.16200000000000012,0.15,0.04919756785322009,-0.2046963793934209,-0.0025652591182131756
0.16300000000000012,0.15,0.050083021550759194,-0.20618823939838987,-0.0014090237170018283
0.16400000000000012,0.15,0.05093775019316936,-0.20155232435639545,0.0005438388505126512
0.16500000000000012,0.15,0.05178803319059431,-0.20268480397972796,0.0023014115275770963
0.16600000000000012,0.15,0.052594781673998336,-0.19508874842216253,0.0038832308490231726
0.16700000000000012,0.15,0.05340027257731519,-0.19678830282107737,0.005306866736314392
0.16800000000000012,0.15,0.05417245128503684,-0.19133675901816333,0.006588140815500049
0.16900000000000012,0.15,0.05492535772166449,-0.18891855863073623,0.008688284830374288
0.17000000000000012,0.15,0.055642691278611704,-0.18280990868878366,0.01057841825273495
0.17100000000000012,0.15,0.056360337439862844,-0.18459498237515726,0.012279537450039152
0.17200000000000013,0.15,0.057046681738449144,-0.17932549948724746,0.01381054643421073
0.17300000000000013,0.15,0.05773512979039976,-0.18141121745850222,0.015188453549151854
0.17400000000000013,0.15,0.05840288431544525,-0.17842821704370887,0.01737641019191169
0.17500000000000013,0.15,0.05906954591202608,-0.17974689193194843,0.019345571427284186
0.17600000000000013,0.15,0.059692639924656364,-0.17161456164182998,0.021117818620697365
0.17700000000000013,0.15,0.06031646634049919,-0.17321768500969492,0.02271283980643854
0.17800000000000013,0.15,0.06090425119870336,-0.1666243200660719,0.024148360457219548
0.17900000000000013,0.15,0.06147405813411874,-0.16394056805469484,0.0263637277743399
0.18000000000000013,0.15,0.06200488980069516,-0.1565276693185091,0.028357562330110747
0.18100000000000013,0.15,0.06253688712201662,-0.15795457406829272,0.030152012706547632
0.18200000000000013,0.15,0.0630310545130373,-0.15067853838547515,0.03176701975879989
0.18300000000000013,0.15,0.06352731898872285,-0.15218006758389802,0.03322052488360913
0.18400000000000014,0.15,0.06399587152284641,-0.14705895310927633,0.03540535607318293
0.18500000000000014,0.15,0.06446351154582175,-0.1478314242759697,0.03737170434798873
0.18600000000000014,0.15,0.06488245212374848,-0.1379423331872245,0.039141420124381016
0.18700000000000014,0.15,0.06530210244732396,-0.13891739858675292,0.04073416277842376
0.18800000000000014,0.15,0.06567872375383399,-0.1301386775637075,0.042167632991340825
0.18900000000000014,0.15,0.06603966090971776,-0.12732266359528285,0.04426715427845326
0.19000000000000014,0.15,0.0663539420789958,-0.11756631281661482,0.04615672723356176
0.19100000000000014,0.15,0.06666942433370604,-0.11833678199839309,0.04785734173204101
0.19200000000000014,0.15,0.06693986876769076,-0.10878813324083617,0.04938789651681183
0.19300000000000014,0.15,0.06744373620245867,-0.1611515536830983,0.05076539172361336
0.19400000000000014,0.15,0.06769569458831401,-0.10609711845649264,0.052727561183164434
0.19500000000000015,0.15,0.06791484046047537,-0.09913340765088238,0.05449350393102623
0.19600000000000015,0.15,0.06794323186134141,-0.056792456492294155,0.05608286241234825
0.19700000000000015,0.15,0.06795128704601984,-0.051881826486775154,0.057513277965333204
0.19800000000000015,0.15,0.06782417499243167,-0.021248564113594343,0.05880065856360303
0.19900000000000015,0.15,0.06767218799942365,-0.014803723626679366,0.060583223074356235
0.20000000000000015,0.15,0.067416585454484,0.009308496570968584,0.06218753759168613
0.20100000000000015,0.15,0.06715436390586241,0.012098696527518722,0.0636314172153952
0.20200000000000015,0.15,0.06681172879041006,0.031381051688045766,0.06493091236415047
0.20300000000000015,0.15,0.06646592222377544,0.03369385683484834,0.06610045529655881
0.20400000000000015,0.15,0.06605854615873319,0.04906334576271339,0.06758991958488778
0.20500000000000015,0.15,0.065648690855126,0.05144985752239904,0.0689304358216006
0.20600000000000016,0.15,0.06517431977598616,0.06766953617051524,0.07013690287754457
0.20700000000000016,0.15,0.0646998636714775,0.06971650173551805,0.0712227213979034
0.20800000000000016,0.15,0.0641695791341901,0.08425064476667446,0.07219996007198456
0.20900000000000016,0.15,0.06363603651869616,0.08721520267449005,0.07328390478625621
0.21000000000000016,0.15,0.06305417709399785,0.10022311098956183,0.07425945712363421
0.21100000000000016,0.15,0.06247291387686429,0.10252797498242017,0.0751374525091629
0.21200000000000016,0.15,0.061837599854187984,0.11701764758302674,0.07592764996746801
0.21300000000000016,0.15,0.06120567576637489,0.11883362822870913,0.076638826720243
