# time, steer_desired, steer 
0.06200000000000005,0.1,0.032031000716095485
0.06300000000000004,0.1,0.032935988758619784
0.06400000000000004,0.1,0.03375047903953333
0.06500000000000004,0.1,0.03448352206405955
0.06600000000000004,0.1,0.03514326310067882
0.06700000000000005,0.1,0.035737032739756036
0.06800000000000005,0.1,0.03674203669043233
0.06900000000000005,0.1,0.03764654138014655
0.07000000000000005,0.1,0.038460596490839806
0.07100000000000005,0.1,0.03919324773185413
0.07200000000000005,0.1,0.039852636051604114
0.07300000000000005,0.1,0.040821093419818655
0.07400000000000005,0.1,0.04169270633992977
0.07500000000000005,0.1,0.04247715917017581
0.07600000000000005,0.1,0.04318316859591953
0.07700000000000005,0.1,0.04381857945814687
0.07800000000000006,0.1,0.04474847637055972
0.07900000000000006,0.1,0.04558538503954865
0.08000000000000006,0.1,0.04633860418344287
0.08100000000000006,0.1,0.04701650337983714
0.08200000000000006,0.1,0.047626615083059085
0.08300000000000006,0.1,0.04851596835233443
0.08400000000000006,0.1,0.0493163878072745
0.08500000000000006,0.1,0.05003676671650049
0.08600000000000006,0.1,0.05068510971758986
0.08700000000000006,0.1,0.0512686208279785
0.08800000000000006,0.1,0.05211584470738731
0.08900000000000007,0.1,0.052878347726824336
0.09000000000000007,0.1,0.0535646018584306
0.09100000000000007,0.1,0.054182232536142266
0.09200000000000007,0.1,0.05473810250282175
0.09300000000000007,0.1,0.05554215149973695
0.09400000000000007,0.1,0.05626579711174882
0.09500000000000007,0.1,0.0569170795653399
0.09600000000000007,0.1,0.05750323568593694
0.09700000000000007,0.1,0.05803077847731881
0.09800000000000007,0.1,0.05879116952054123
0.09900000000000007,0.1,0.05947552294315524
0.10000000000000007,0.1,0.06009144239849362
0.10100000000000008,0.1,0.06064577175901924
0.10200000000000008,0.1,0.06114467037918037
0.10300000000000008,0.1,0.06186144374006069
0.10400000000000008,0.1,0.06250654120544367
0.10500000000000008,0.1,0.06308713026032146
0.10600000000000008,0.1,0.0636096621890503
0.10700000000000008,0.1,0.06407994302496327
